TSK,TSK_desc,Registrovano_pocet,Objasneno_pocet,Objasneno_procent,Spachano_nezletilymi,Spachano_mladistvymi,Spachano_detmi,Spachano_opakovane,Spachano_cizinci,Spachano_pod_vlivem,Spachano_pod_vlivem_alkoholu,Spachano_firmou,Objasneno_dodatecne,Objasneno_celkem,Spachano_nezletilymi_celkem,Spachano_mladistvymi_celkem,Spachano_detmi_celkem,Spachano_opakovane_celkem,Spachano_cizinci_celkem,Spachano_pod_vlivem_celkem,Spachano_pod_vlivem_alkoholu_celkem,Spachano_firmou_celkem,Skoda_celkem_tis,Skoda_zajistena_tis,Region,Period
100-106,vraždy,13.0,9.0,0.6923,0.0,1.0,1.0,3.0,5.0,2.0,2.0,0.0,3.0,12.0,0.0,1.0,1.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,Česká republika,2023-01-01
100-199,násilná kriminalita,1501.0,406.0,0.2705,5.0,23.0,25.0,201.0,50.0,76.0,59.0,0.0,451.0,857.0,18.0,48.0,60.0,359.0,92.0,143.0,99.0,0.0,7081.0,848.0,Česká republika,2023-01-01
200-299,mravnostní kriminalita,358.0,103.0,0.2877,7.0,13.0,20.0,11.0,12.0,10.0,7.0,1.0,103.0,206.0,25.0,29.0,54.0,29.0,17.0,13.0,10.0,1.0,15.0,0.0,Česká republika,2023-01-01
300-399,krádeže vloupáním,3221.0,330.0,0.1025,3.0,2.0,5.0,262.0,13.0,12.0,2.0,0.0,494.0,824.0,20.0,18.0,34.0,620.0,42.0,19.0,2.0,0.0,147996.0,920.0,Česká republika,2023-01-01
400-499,krádeže prosté,3437.0,991.0,0.2883,0.0,13.0,13.0,832.0,45.0,30.0,11.0,0.0,597.0,1588.0,12.0,43.0,52.0,1236.0,106.0,40.0,14.0,0.0,172753.0,1128.0,Česká republika,2023-01-01
500-599,ostatní majetková kriminalita,3401.0,193.0,0.056799999999999996,0.0,0.0,0.0,104.0,27.0,12.0,5.0,0.0,462.0,655.0,9.0,12.0,19.0,307.0,81.0,18.0,9.0,1.0,432990.0,2.0,Česká republika,2023-01-01
300-599,majetková kriminalita,10059.0,1514.0,0.1505,3.0,15.0,18.0,1198.0,85.0,54.0,18.0,0.0,1553.0,3067.0,41.0,73.0,105.0,2163.0,229.0,77.0,25.0,1.0,753739.0,2050.0,Česká republika,2023-01-01
600-699,ostatní kriminalita,3084.0,1219.0,0.3953,3.0,4.0,7.0,716.0,130.0,124.0,58.0,1.0,648.0,1867.0,11.0,29.0,40.0,1012.0,195.0,195.0,87.0,1.0,29242.0,0.0,Česká republika,2023-01-01
100-699,obecná kriminalita,15002.0,3242.0,0.2161,18.0,55.0,70.0,2126.0,277.0,264.0,142.0,2.0,2755.0,5997.0,95.0,179.0,259.0,3563.0,533.0,428.0,221.0,3.0,790077.0,2898.0,Česká republika,2023-01-01
700-799,zbývající kriminalita,2766.0,731.0,0.2643,2.0,1.0,3.0,187.0,141.0,570.0,463.0,0.0,1065.0,1796.0,3.0,3.0,6.0,507.0,259.0,938.0,722.0,4.0,95801.0,0.0,Česká republika,2023-01-01
