id,name
CZ0712500852,Bohuňovice
CZ0712500861,Bouzov
CZ0712505081,Senice na Hané
CZ0712500879,Bystročice
CZ0712501476,Dlouhá Loučka
CZ0712501751,Drahanovice
CZ0724500011,Želechovice nad Dřevnicí
CZ0715500020,Petrov nad Desnou
CZ0804500046,Libhošť
CZ0723500062,Krhová
CZ0804500259,Veřovice
CZ0531504921,Třibřichy
CZ0806500291,Vřesina
CZ0712500496,Olomouc
CZ0712500526,Bělkovice-Lašťany
CZ0712500623,Bílá Lhota
CZ0712500801,Blatec
CZ0712503738,Majetín
CZ0327503916,Kostelec
CZ0712503941,Libavá
CZ0712504246,Mladeč
CZ0531504301,Dřenice
CZ0712504441,Náklo
CZ0712504505,Náměšť na Hané
CZ0531504807,Lány
CZ0531505005,Bítovany
CZ0712505013,Příkazy
CZ0531505030,Dolní Bezděkov
CZ0523505099,Červená Hora
CZ0712505111,Slatinice
CZ0533505145,Březová nad Svitavou
CZ0712505161,Štěpánov
CZ0712505188,Šternberk
CZ0712505269,Těšetice
CZ0712505293,Troubelice
CZ0712505366,Tršice
CZ0712501794,Dub nad Moravou
CZ0712501841,Grygov
CZ0712502146,Hlubočky
CZ0712502545,Horka nad Moravou
CZ0712502839,Cholina
CZ0712503142,Jívová
CZ0712503304,Kožušany-Tážaly
CZ0712503444,Litovel
CZ0712503622,Luká
CZ0712503657,Lutín
CZ0643506699,Otmarov
CZ0805506702,Dolní Benešov
CZ0806506711,Dolní Lhota
CZ0632506729,Dvorce
CZ0633509388,Arneštovice
CZ0721506737,Chvalčov
CZ0805506753,Háj ve Slezsku
CZ0713506761,Alojzov
CZ0713506770,Seloutky
CZ0805507016,Hlučín
CZ0802507091,Nýdek
CZ0805507105,Hněvošice
CZ0802507237,Komorní Lhotka
CZ0533505391,Bělá u Jevíčka
CZ0423505528,Jenčice
CZ0712505609,Velká Bystřice
CZ0712505650,Velký Týnec
CZ0712505668,Velký Újezd
CZ0209505781,Zápy
CZ0712505862,Žerotín
CZ0805505927,Opava
CZ0805506192,Bohuslavice
CZ0805506214,Bolatice
CZ0805506451,Březová
CZ0805506460,Budišov nad Budišovkou
CZ0412506486,Boží Dar
CZ0412506494,Nové Hamry
CZ0326506664,Skořice
CZ0805508128,Markvartovice
CZ0313507733,Březina
CZ0313507784,Ratiboř
CZ0805507971,Ludgeřovice
CZ0313508004,Roseč
CZ0805508144,Melč
CZ0313508152,Střížovice
CZ0805508373,Mokré Lazce
CZ0313508683,Záblatí
CZ0313509078,Plavsko
CZ0313509116,Červený Hrádek
CZ0313509141,Dvory nad Lužnicí
CZ0802512176,Hrádek
CZ0802512184,Metylovice
CZ0805509574,Oldřišov
CZ0314509621,Předotice
CZ0805509647,Píšť
CZ0805509736,Pustá Polom
CZ0314509752,Křižanov
CZ0805509841,Raduň
CZ0805510289,Slavkov
CZ0805510297,Služovice
CZ0805510343,Stěbořice
CZ0805510378,Sudice
CZ0805510432,Šilheřovice
CZ0805507261,Hrabyně
CZ0805507270,Hradec nad Moravicí
CZ0802507423,Janovice
CZ0313507628,Pleše
CZ0313507695,Záhoří
CZ0805507334,Chuchelná
CZ0805507377,Jakartovice
CZ0802507458,Košařiska
CZ0805507504,Kobeřice
CZ0805507580,Kravaře
CZ0313507610,Doňov
CZ0313507644,Újezdec
CZ0313507652,Višňová
CZ0802511935,Bukovec
CZ0802511951,Dolní Lomná
CZ0802511986,Horní Lomná
CZ0802512028,Písek
CZ0313508501,Lužnice
CZ0714513636,Hrabůvka
CZ0805512923,Chlebičov
CZ0721549720,Přílepy
CZ0712554901,Křelov-Břuchotín
CZ0202531154,Drozdov
CZ0514577073,Háje nad Jizerou
CZ0802512192,Horní Domaslavice
CZ0805510491,Štítina
CZ0634510556,Láz
CZ0634510645,Kojatín
CZ0805510891,Velké Heraltice
CZ0805510939,Velké Hoštice
CZ0634510980,Ocmanice
CZ0634511081,Sedlec
CZ0805511161,Vršovice
CZ0634511242,Vícenice u Náměště nad Oslavou
CZ0634511307,Rácovice
CZ0714511382,Přerov
CZ0635511412,Oslavička
CZ0802511633,Bocanovice
CZ0805512869,Strahovice
CZ0532575470,Poběžovice u Přelouče
CZ0201532941,Řimovice
CZ0714512877,Býškovice
CZ0805512893,Nové Lublice
CZ0805512907,Kyjovice
