"kodjaz","akrcis","kodcis","uroven","chodnota","zkrtext","text","admplod","admnepo","nadvaz"
"CS","CZ-NUTS_KL",80113,1,"CZ","Česko","Česko","2021-01-01","9999-09-09",
"CS","CZ-NUTS_KL",80113,2,"CZ0","Česko","Česko","2021-01-01","9999-09-09","CZ"
"CS","CZ-NUTS_KL",80113,3,"CZ01","Praha","Praha","2021-01-01","9999-09-09","CZ0"
"CS","CZ-NUTS_KL",80113,4,"CZ010","Hlavní město Praha","Hlavní město Praha","2021-01-01","9999-09-09","CZ01"
"CS","CZ-NUTS_KL",80113,3,"CZ02","Střední Čechy","Střední Čechy","2021-01-01","9999-09-09","CZ0"
"CS","CZ-NUTS_KL",80113,4,"CZ020","Středočeský kraj","Středočeský kraj","2021-01-01","9999-09-09","CZ02"
"CS","CZ-NUTS_KL",80113,3,"CZ03","Jihozápad","Jihozápad","2021-01-01","9999-09-09","CZ0"
"CS","CZ-NUTS_KL",80113,4,"CZ031","Jihočeský kraj","Jihočeský kraj","2021-01-01","9999-09-09","CZ03"
"CS","CZ-NUTS_KL",80113,4,"CZ032","Plzeňský kraj","Plzeňský kraj","2021-01-01","9999-09-09","CZ03"
"CS","CZ-NUTS_KL",80113,3,"CZ04","Severozápad","Severozápad","2021-01-01","9999-09-09","CZ0"
"CS","CZ-NUTS_KL",80113,4,"CZ041","Karlovarský kraj","Karlovarský kraj","2021-01-01","9999-09-09","CZ04"
"CS","CZ-NUTS_KL",80113,4,"CZ042","Ústecký kraj","Ústecký kraj","2021-01-01","9999-09-09","CZ04"
"CS","CZ-NUTS_KL",80113,3,"CZ05","Severovýchod","Severovýchod","2021-01-01","9999-09-09","CZ0"
"CS","CZ-NUTS_KL",80113,4,"CZ051","Liberecký kraj","Liberecký kraj","2021-01-01","9999-09-09","CZ05"
"CS","CZ-NUTS_KL",80113,4,"CZ052","Královéhradecký kraj","Královéhradecký kraj","2021-01-01","9999-09-09","CZ05"
"CS","CZ-NUTS_KL",80113,4,"CZ053","Pardubický kraj","Pardubický kraj","2021-01-01","9999-09-09","CZ05"
"CS","CZ-NUTS_KL",80113,3,"CZ06","Jihovýchod","Jihovýchod","2021-01-01","9999-09-09","CZ0"
"CS","CZ-NUTS_KL",80113,4,"CZ063","Kraj Vysočina","Kraj Vysočina","2021-01-01","9999-09-09","CZ06"
"CS","CZ-NUTS_KL",80113,4,"CZ064","Jihomoravský kraj","Jihomoravský kraj","2021-01-01","9999-09-09","CZ06"
"CS","CZ-NUTS_KL",80113,3,"CZ07","Střední Morava","Střední Morava","2021-01-01","9999-09-09","CZ0"
"CS","CZ-NUTS_KL",80113,4,"CZ071","Olomoucký kraj","Olomoucký kraj","2021-01-01","9999-09-09","CZ07"
"CS","CZ-NUTS_KL",80113,4,"CZ072","Zlínský kraj","Zlínský kraj","2021-01-01","9999-09-09","CZ07"
"CS","CZ-NUTS_KL",80113,3,"CZ08","Moravskoslezsko","Moravskoslezsko","2021-01-01","9999-09-09","CZ0"
"CS","CZ-NUTS_KL",80113,4,"CZ080","Moravskoslezský kraj","Moravskoslezský kraj","2021-01-01","9999-09-09","CZ08"
"CS","CZ-NUTS_KL",80113,2,"CZZ","Extra-Regio","Extra-Regio","2021-01-01","9999-09-09","CZ"
"CS","CZ-NUTS_KL",80113,3,"CZZZ","Extra-Regio","Extra-Regio","2021-01-01","9999-09-09","CZZ"
"CS","CZ-NUTS_KL",80113,4,"CZZZZ","Extra-Regio","Extra-Regio","2021-01-01","9999-09-09","CZZZ"
