Kraj_ID,Okres_ID,Kraj_name,Okres_name,Okres_populace,id,Obec_ID,Obec_name,Population
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207571806,571806,Nová Ves u Bakova,306
CZ010,CZ0100,Hlavní město Praha,Praha,1357326,CZ0100554782,554782,Praha,1384732
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207529605,529605,Rokytá,364
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201529303,529303,Benešov,17035
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207529613,529613,Josefův Důl,430
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201532568,532568,Bernartice,230
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207529591,529591,Sedlec,263
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201530743,530743,Bílkovice,217
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207536610,536610,Semčice,754
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201532380,532380,Blažejovice,101
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207536636,536636,Skalsko,384
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201532096,532096,Borovnice,89
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207536652,536652,Smilovice,799
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201532924,532924,Bukovany,819
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207536661,536661,Sojovice,585
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201529451,529451,Bystřice,4686
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207536938,536938,Všejany,725
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201532690,532690,Ctiboř,170
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207536971,536971,Žďár,1532
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201529478,529478,Čakov,128
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207536377,536377,Nová Telib,319
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201529486,529486,Čechtice,1453
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535923,535923,Chocnějovice,428
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201529516,529516,Čerčany,3134
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535931,535931,Chotětov,1449
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201529532,529532,Červený Újezd,341
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535419,535419,Mladá Boleslav,46428
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201529541,529541,Český Šternberk,184
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535427,535427,Bakov nad Jizerou,5316
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201529567,529567,Čtyřkoly,783
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535443,535443,Bělá pod Bezdězem,4827
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201532746,532746,Děkanovice,59
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535451,535451,Benátky nad Jizerou,7877
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201529621,529621,Divišov,1810
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207536270,536270,Luštěnice,2255
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201529648,529648,Dolní Kralovice,899
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535605,535605,Bukovno,788
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201532151,532151,Drahňovice,115
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535621,535621,Čachovice,879
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201532843,532843,Dunice,67
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535630,535630,Čistá,893
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201529702,529702,Heřmaničky,755
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207536334,536334,Němčice,188
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201532932,532932,Hradiště,31
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535478,535478,Bezno,1000
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201529737,529737,Hulice,282
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535486,535486,Bítouchov,418
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201529745,529745,Hvězdonice,341
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535656,535656,Dlouhá Lhota,491
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201532886,532886,Chářovice,221
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535672,535672,Dobrovice,3647
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201532878,532878,Chleby,49
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535702,535702,Dolní Bousov,2973
CZ020,CZ0201,Středočeský kraj,Benešov,99323,CZ0201532045,532045,Chlístov,465
CZ020,CZ0207,Středočeský kraj,Mladá Boleslav,127592,CZ0207535711,535711,Dolní Krupá,248
