id,level_1_id,level_1_label,level_1_name,level_2_id,level_2_label,level_2_name,level_3_id,level_3_label,level_3_name,level_4_id,level_4_label,level_4_name,name,label
1,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,Násilná,NÁSILNÁ TRESTNÁ ČINNOST
2,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,2,vražda,Násilná,2,vražda,Násilná,2,vražda,Násilná,Násilná,vražda
3,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,3,loupež,Násilná,3,loupež,Násilná,3,loupež,Násilná,Násilná,loupež
4,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,4,vydírání,Násilná,4,vydírání,Násilná,4,vydírání,Násilná,Násilná,vydírání
5,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,5,Výtržnictví (bez mravnostního charakteru),Násilná,5,Výtržnictví (bez mravnostního charakteru),Násilná,5,Výtržnictví (bez mravnostního charakteru),Násilná,Násilná,Výtržnictví (bez mravnostního charakteru)
6,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,6,Nebezpečné vyhrožování,Násilná,6,Nebezpečné vyhrožování,Násilná,6,Nebezpečné vyhrožování,Násilná,Násilná,Nebezpečné vyhrožování
7,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,7,Rvačka,Násilná,7,Rvačka,Násilná,7,Rvačka,Násilná,Násilná,Rvačka
8,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,8,Úmyslné ublížení na zdraví,Násilná,8,Úmyslné ublížení na zdraví,Násilná,8,Úmyslné ublížení na zdraví,Násilná,Násilná,Úmyslné ublížení na zdraví
9,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,9,Útok proti výkonu pravomoci státního orgánu a úřední osoby,Násilná,9,Útok proti výkonu pravomoci státního orgánu a úřední osoby,Násilná,9,Útok proti výkonu pravomoci státního orgánu a úřední osoby,Násilná,Násilná,Útok proti výkonu pravomoci státního orgánu a úřední osoby
10,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,10,Omezování osobní svobody (bez mravnostního charakteru),Násilná,10,Omezování osobní svobody (bez mravnostního charakteru),Násilná,10,Omezování osobní svobody (bez mravnostního charakteru),Násilná,Násilná,Omezování osobní svobody (bez mravnostního charakteru)
11,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,11,Únos,Násilná,11,Únos,Násilná,11,Únos,Násilná,Násilná,Únos
12,1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,12,Obchod s lidmi a lidskými orgány,Násilná,12,Obchod s lidmi a lidskými orgány,Násilná,12,Obchod s lidmi a lidskými orgány,Násilná,Násilná,Obchod s lidmi a lidskými orgány
13,13,POŽÁRY VÝBUCHY ŽIVELNÉ POHROMY,Požáry výbuchy,13,POŽÁRY VÝBUCHY ŽIVELNÉ POHROMY,Požáry výbuchy,13,POŽÁRY VÝBUCHY ŽIVELNÉ POHROMY,Požáry výbuchy,13,POŽÁRY VÝBUCHY ŽIVELNÉ POHROMY,Požáry výbuchy,Požáry výbuchy,POŽÁRY VÝBUCHY ŽIVELNÉ POHROMY
14,13,POŽÁRY VÝBUCHY ŽIVELNÉ POHROMY,Požáry výbuchy,14,Požár,Požáry výbuchy,14,Požár,Požáry výbuchy,14,Požár,Požáry výbuchy,Požáry výbuchy,Požár
15,13,POŽÁRY VÝBUCHY ŽIVELNÉ POHROMY,Požáry výbuchy,15,Výbuch,Požáry výbuchy,15,Výbuch,Požáry výbuchy,15,Výbuch,Požáry výbuchy,Požáry výbuchy,Výbuch
16,13,POŽÁRY VÝBUCHY ŽIVELNÉ POHROMY,Požáry výbuchy,16,Provozní havárie,Požáry výbuchy,16,Provozní havárie,Požáry výbuchy,16,Provozní havárie,Požáry výbuchy,Požáry výbuchy,Provozní havárie
17,13,POŽÁRY VÝBUCHY ŽIVELNÉ POHROMY,Požáry výbuchy,17,Živelné pohromy nebezpečné zamoření,Požáry výbuchy,17,Živelné pohromy nebezpečné zamoření,Požáry výbuchy,17,Živelné pohromy nebezpečné zamoření,Požáry výbuchy,Požáry výbuchy,Živelné pohromy nebezpečné zamoření
18,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,Krádeže vloupáním,KRÁDEŽE VLOUPÁNÍM
19,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,19,Byt,Krádeže vloupáním,19,Byt,Krádeže vloupáním,19,Byt,Krádeže vloupáním,Krádeže vloupáním,Byt
20,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,20,Rodinný domek,Krádeže vloupáním,20,Rodinný domek,Krádeže vloupáním,20,Rodinný domek,Krádeže vloupáním,Krádeže vloupáním,Rodinný domek
21,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,21,Zemědělský objekt,Krádeže vloupáním,21,Zemědělský objekt,Krádeže vloupáním,21,Zemědělský objekt,Krádeže vloupáním,Krádeže vloupáním,Zemědělský objekt
22,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,22,Prodejna,Krádeže vloupáním,22,Prodejna,Krádeže vloupáním,22,Prodejna,Krádeže vloupáním,Krádeže vloupáním,Prodejna
23,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,23,Restaurace a jiná pohostinská zařízení,Krádeže vloupáním,23,Restaurace a jiná pohostinská zařízení,Krádeže vloupáním,23,Restaurace a jiná pohostinská zařízení,Krádeže vloupáním,Krádeže vloupáním,Restaurace a jiná pohostinská zařízení
24,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,24,Ubytovací objekt,Krádeže vloupáním,24,Ubytovací objekt,Krádeže vloupáním,24,Ubytovací objekt,Krádeže vloupáním,Krádeže vloupáním,Ubytovací objekt
25,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,25,Rekreační objekt,Krádeže vloupáním,25,Rekreační objekt,Krádeže vloupáním,25,Rekreační objekt,Krádeže vloupáním,Krádeže vloupáním,Rekreační objekt
26,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,26,Kulturní objekt,Krádeže vloupáním,26,Kulturní objekt,Krádeže vloupáním,26,Kulturní objekt,Krádeže vloupáním,Krádeže vloupáním,Kulturní objekt
27,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,27,Sportovní objekt,Krádeže vloupáním,27,Sportovní objekt,Krádeže vloupáním,27,Sportovní objekt,Krádeže vloupáním,Krádeže vloupáním,Sportovní objekt
28,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,28,Úřad,Krádeže vloupáním,28,Úřad,Krádeže vloupáním,28,Úřad,Krádeže vloupáním,Krádeže vloupáním,Úřad
29,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,29,Podnik výrobní objekt,Krádeže vloupáním,29,Podnik výrobní objekt,Krádeže vloupáním,29,Podnik výrobní objekt,Krádeže vloupáním,Krádeže vloupáním,Podnik výrobní objekt
30,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,30,Zdravotnický objekt,Krádeže vloupáním,30,Zdravotnický objekt,Krádeže vloupáním,30,Zdravotnický objekt,Krádeže vloupáním,Krádeže vloupáním,Zdravotnický objekt
31,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,31,Školský objekt,Krádeže vloupáním,31,Školský objekt,Krádeže vloupáním,31,Školský objekt,Krádeže vloupáním,Krádeže vloupáním,Školský objekt
32,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,32,Církevní objekt,Krádeže vloupáním,32,Církevní objekt,Krádeže vloupáním,32,Církevní objekt,Krádeže vloupáním,Krádeže vloupáním,Církevní objekt
33,18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,33,Peněžní ústav,Krádeže vloupáním,33,Peněžní ústav,Krádeže vloupáním,33,Peněžní ústav,Krádeže vloupáním,Krádeže vloupáním,Peněžní ústav
