type_key,type_url
1,"https://raw.githubusercontent.com/Thepilli/crime_rates/refs/heads/main/crime_images/Nasilna.jpg"
13,"https://raw.githubusercontent.com/Thepilli/crime_rates/refs/heads/main/crime_images/Pozary_vybuchy.jpg"
18,"https://raw.githubusercontent.com/Thepilli/crime_rates/refs/heads/main/crime_images/Kradeze_vloupanim.jpg"
35,"https://raw.githubusercontent.com/Thepilli/crime_rates/refs/heads/main/crime_images/Kradeze.jpg"
54,"https://raw.githubusercontent.com/Thepilli/crime_rates/refs/heads/main/crime_images/Podvody.jpg"
55,"https://raw.githubusercontent.com/Thepilli/crime_rates/refs/heads/main/crime_images/Jina_majetkova.jpg"
63,"https://raw.githubusercontent.com/Thepilli/crime_rates/refs/heads/main/crime_images/Obecne_nebezpecna.jpg"
79,"https://raw.githubusercontent.com/Thepilli/crime_rates/refs/heads/main/crime_images/Dopravni_nehody.jpg"
80,"https://raw.githubusercontent.com/Thepilli/crime_rates/refs/heads/main/crime_images/Toxikomanie.jpg"
84,"https://raw.githubusercontent.com/Thepilli/crime_rates/refs/heads/main/crime_images/Zbrane.jpg"
96,"https://raw.githubusercontent.com/Thepilli/crime_rates/refs/heads/main/crime_images/Extremismus.jpg"
97,"https://raw.githubusercontent.com/Thepilli/crime_rates/refs/heads/main/crime_images/Prestupky.jpg"
