kodjaz,akrcis,kodcis,chodnota,zkrtext,text,admplod,admnepo,kodrso,populace
CS,OKRES_LAU,109,CZ0100,Praha,Praha,1/1/2008,9/9/9999,40924,1357326
CS,OKRES_LAU,109,CZ0201,Benešov,Benešov,1/1/2008,9/9/9999,40169,99323
CS,OKRES_LAU,109,CZ0202,Beroun,Beroun,1/1/2008,9/9/9999,40177,96624
CS,OKRES_LAU,109,CZ0203,Kladno,Kladno,1/1/2008,9/9/9999,40185,164493
CS,OKRES_LAU,109,CZ0204,Kolín,Kolín,1/1/2008,9/9/9999,40193,103894
CS,OKRES_LAU,109,CZ0205,Kutná Hora,Kutná Hora,1/1/2008,9/9/9999,40207,75683
CS,OKRES_LAU,109,CZ0206,Mělník,Mělník,1/1/2008,9/9/9999,40215,109354
CS,OKRES_LAU,109,CZ0207,Mladá Boleslav,Mladá Boleslav,1/1/2008,9/9/9999,40223,127592
CS,OKRES_LAU,109,CZ0208,Nymburk,Nymburk,1/1/2008,9/9/9999,40231,101120
CS,OKRES_LAU,109,CZ0209,Praha-východ,Praha-východ,1/1/2008,9/9/9999,40240,188384
CS,OKRES_LAU,109,CZ020A,Praha-západ,Praha-západ,1/1/2008,9/9/9999,40258,151093
CS,OKRES_LAU,109,CZ020B,Příbram,Příbram,1/1/2008,9/9/9999,40266,114366
CS,OKRES_LAU,109,CZ020C,Rakovník,Rakovník,1/1/2008,9/9/9999,40274,54898
CS,OKRES_LAU,109,CZ0311,České Budějovice,České Budějovice,1/1/2008,9/9/9999,40282,195533
CS,OKRES_LAU,109,CZ0312,Český Krumlov,Český Krumlov,1/1/2008,9/9/9999,40291,60096
CS,OKRES_LAU,109,CZ0313,Jindřichův Hradec,Jindřichův Hradec,1/1/2008,9/9/9999,40304,89283
CS,OKRES_LAU,109,CZ0314,Písek,Písek,1/1/2008,9/9/9999,40312,70769
CS,OKRES_LAU,109,CZ0315,Prachatice,Prachatice,1/1/2008,9/9/9999,40321,50230
CS,OKRES_LAU,109,CZ0316,Strakonice,Strakonice,1/1/2008,9/9/9999,40339,69773
CS,OKRES_LAU,109,CZ0317,Tábor,Tábor,1/1/2008,9/9/9999,40347,101363
CS,OKRES_LAU,109,CZ0321,Domažlice,Domažlice,1/1/2008,9/9/9999,40355,54391
CS,OKRES_LAU,109,CZ0322,Klatovy,Klatovy,1/1/2008,9/9/9999,40363,84614
CS,OKRES_LAU,109,CZ0323,Plzeň-město,Plzeň-město,1/1/2008,9/9/9999,40371,188407
CS,OKRES_LAU,109,CZ0324,Plzeň-jih,Plzeň-jih,1/1/2008,9/9/9999,40380,68918
CS,OKRES_LAU,109,CZ0325,Plzeň-sever,Plzeň-sever,1/1/2008,9/9/9999,40398,80666
CS,OKRES_LAU,109,CZ0326,Rokycany,Rokycany,1/1/2008,9/9/9999,40401,48770
CS,OKRES_LAU,109,CZ0327,Tachov,Tachov,1/1/2008,9/9/9999,40410,52941
CS,OKRES_LAU,109,CZ0411,Cheb,Cheb,1/1/2008,9/9/9999,40428,87958
CS,OKRES_LAU,109,CZ0412,Karlovy Vary,Karlovy Vary,1/1/2008,9/9/9999,40436,110052
CS,OKRES_LAU,109,CZ0413,Sokolov,Sokolov,1/1/2008,9/9/9999,40444,85200
CS,OKRES_LAU,109,CZ0421,Děčín,Děčín,1/1/2008,9/9/9999,40452,126294
CS,OKRES_LAU,109,CZ0422,Chomutov,Chomutov,1/1/2008,9/9/9999,40461,121480
CS,OKRES_LAU,109,CZ0423,Litoměřice,Litoměřice,1/1/2008,9/9/9999,40479,117582
CS,OKRES_LAU,109,CZ0424,Louny,Louny,1/1/2008,9/9/9999,40487,85381
CS,OKRES_LAU,109,CZ0425,Most,Most,1/1/2008,9/9/9999,40495,106773
CS,OKRES_LAU,109,CZ0426,Teplice,Teplice,1/1/2008,9/9/9999,40509,124472
CS,OKRES_LAU,109,CZ0427,Ústí nad Labem,Ústí nad Labem,1/1/2008,9/9/9999,40517,116916
CS,OKRES_LAU,109,CZ0511,Česká Lípa,Česká Lípa,1/1/2008,9/9/9999,40525,101962
